file_name,pitch_midi,pitch_name,onset_s,duration_s
F04_0352_0001_2_D.mid,52,E3,0.000000,0.800000
F04_0352_0001_2_D.mid,55,G3,0.800000,0.600000
F04_0352_0001_2_D.mid,57,A3,1.400000,0.200000
F04_0352_0001_2_D.mid,60,C4,1.600000,0.600000
F04_0352_0001_2_D.mid,62,D4,2.200000,0.200000
F04_0352_0001_2_D.mid,57,A3,2.400000,0.200000
F04_0352_0001_2_D.mid,60,C4,2.600000,0.200000
F04_0352_0001_2_D.mid,55,G3,2.800000,0.400000
F04_0352_0001_2_D.mid,67,G4,3.200000,0.600000
F04_0352_0001_2_D.mid,72,C5,3.800000,0.200000
F04_0352_0001_2_D.mid,69,A4,4.000000,0.200000
F04_0352_0001_2_D.mid,67,G4,4.200000,0.200000
F04_0352_0001_2_D.mid,64,E4,4.400000,0.200000
F04_0352_0001_2_D.mid,67,G4,4.600000,0.200000
F04_0352_0001_2_D.mid,62,D4,4.800000,1.200000
F04_0352_0001_2_D.mid,62,D4,6.400000,0.400000
F04_0352_0001_2_D.mid,62,D4,6.800000,0.200000
F04_0352_0001_2_D.mid,64,E4,7.000000,0.200000
F04_0352_0001_2_D.mid,59,B3,7.200000,0.400000
F04_0352_0001_2_D.mid,57,A3,7.600000,0.400000
F04_0352_0001_2_D.mid,55,G3,8.000000,0.600000
F04_0352_0001_2_D.mid,57,A3,8.600000,0.200000
F04_0352_0001_2_D.mid,60,C4,8.800000,0.400000
F04_0352_0001_2_D.mid,62,D4,9.200000,0.400000
F04_0352_0001_2_D.mid,52,E3,9.600000,0.400000
F04_0352_0001_2_D.mid,60,C4,10.000000,0.400000
F04_0352_0001_2_D.mid,57,A3,10.400000,0.200000
F04_0352_0001_2_D.mid,55,G3,10.600000,0.200000
F04_0352_0001_2_D.mid,57,A3,10.800000,0.200000
F04_0352_0001_2_D.mid,60,C4,11.000000,0.200000
F04_0352_0001_2_D.mid,55,G3,11.200000,1.200000
F03_0057_0002_1_D.mid,62,D4,0.000000,0.600000
F03_0057_0002_1_D.mid,62,D4,0.600000,0.300000
F03_0057_0002_1_D.mid,64,E4,0.900000,0.300000
F03_0057_0002_1_D.mid,57,A3,1.200000,0.300000
F03_0057_0002_1_D.mid,57,A3,1.500000,0.300000
F03_0057_0002_1_D.mid,60,C4,2.100000,0.300000
F03_0057_0002_1_D.mid,62,D4,2.400000,0.600000
F03_0057_0002_1_D.mid,62,D4,3.000000,0.300000
F03_0057_0002_1_D.mid,60,C4,3.300000,0.300000
F03_0057_0002_1_D.mid,62,D4,3.600000,0.300000
F03_0057_0002_1_D.mid,64,E4,3.900000,0.300000
F03_0057_0002_1_D.mid,67,G4,4.200000,0.600000
